SimTime;n0_n2;n1_n2
0;170.298;170.298
1;170.298;170.298
2;170.298;170.298
3;170.298;170.298
4;170.298;170.298
5;170.298;170.298
6;178.297;171.273
7;186.297;172.249
8;194.297;173.225
9;202.297;174.2
10;210.297;175.176
11;218.297;176.152
12;226.297;177.127
13;234.297;178.103
14;242.297;179.079
15;250.297;180.055
16;258.297;181.03
17;263.435;184.87
18;263.435;193.845
19;263.435;202.821
20;263.435;211.796
21;263.435;220.772
22;263.435;229.748
23;263.435;238.723
24;263.435;247.699
25;263.435;256.675
26;263.435;264.379
27;263.435;264.379
28;263.435;264.379
29;263.435;264.379
