SimTime;node-0_dev-0;node-1_dev-0;node-2_dev-0;node-2_dev-1
0;0;0;0;0
1;47.3423;0.000288;0.000288;47.7444
2;47.8245;0;0;47.9164
3;47.9279;0;0;47.859
4;47.9509;0;0;47.7901
5;47.8935;0;0;47.9624
6;47.7326;0;0;47.7556
7;42.0346;0;0;47.7212
8;35.9804;0;0;47.7901
9;35.9574;0;0;47.8131
10;35.9919;0;0;47.7671
11;36.0034;0;0;47.6867
12;35.9919;0;0;47.7441
13;36.0379;0;0;47.5488
14;35.946;0;0;47.6637
15;35.946;0;0;47.3306
16;35.9574;0;0;39.3809
17;35.923;0;0;35.9345
18;35.9804;0;0;36.0034
19;35.9919;0;0;35.9919
20;35.9574;0;0;36.0149
21;35.946;0;0;35.946
22;36.0379;0;0;35.9345
23;35.8885;0;0;35.9689
24;35.9345;0;0;35.877
25;36.0149;0;0;36.0379
26;35.9574;0;0;35.9919
27;36.0379;0;0;35.9345
28;36.0723;0;0;36.0149
29;35.9345;0;0;35.9
